Calories,"Protein
(g)","Total Fat
(g)","Carbs
(g)","Sugars
(g)","Sodium 
(mg)","Trans Fat
(g)",Protein_per_Calorie,Fat_per_Calorie,Carbs_per_Calorie,Company_Burger King,Company_KFC,Company_McDonald’s,Company_Pizza Hut,Company_Taco Bell,Company_Wendy’s,Item,Company
430.0,12.0,17.0,57.0,2.0,810.0,0.0,0.027906976744186046,0.03953488372093023,0.1325581395348837,0.0,0.0,0.0,0.0,1.0,0.0,Veggie Power Menu Bowl – Specialties,Taco Bell
170.0,4.0,3.5,31.0,0.0,320.0,0.0,0.023529411764705882,0.020588235294117647,0.18235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,Black Beans & Rice (V),Taco Bell
50.0,2.0,1.0,8.0,0.0,135.0,0.0,0.04,0.02,0.16,0.0,0.0,0.0,0.0,1.0,0.0,Black Beans (V),Taco Bell
160.0,2.0,9.0,17.0,10.0,80.0,0.0,0.0125,0.05625,0.10625,0.0,0.0,0.0,0.0,1.0,0.0,Cinnabon® Delights™ (2 Pk) (V),Taco Bell
930.0,9.0,53.0,104.0,59.0,480.0,2.0,0.00967741935483871,0.05698924731182796,0.11182795698924732,0.0,0.0,0.0,0.0,1.0,0.0,Cinnabon® Delights™ (12 Pk – Serves 4) (V),Taco Bell
170.0,1.0,6.0,27.0,13.0,210.0,0.0,0.0058823529411764705,0.03529411764705882,0.1588235294117647,0.0,0.0,0.0,0.0,1.0,0.0,Cinnamon Twists (V),Taco Bell
0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Diablo Sauce Packet (V),Taco Bell
0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Fire Sauce Packet (V),Taco Bell
0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Hot Sauce Packet (V),Taco Bell
0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mild Sauce Packet (V),Taco Bell
120.0,0.0,0.0,30.0,30.0,35.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,Blue Raspberry Freeze™ (16 oz) (New),Taco Bell
150.0,0.0,0.0,38.0,38.0,40.0,0.0,0.0,0.0,0.25333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,Blue Raspberry Freeze™ (20 oz) (New),Taco Bell
190.0,0.0,0.0,49.0,47.0,50.0,0.0,0.0,0.0,0.2578947368421053,0.0,0.0,0.0,0.0,1.0,0.0,Dragon Fruit Freeze (16 oz),Taco Bell
230.0,0.0,0.0,59.0,57.0,60.0,0.0,0.0,0.0,0.2565217391304348,0.0,0.0,0.0,0.0,1.0,0.0,Dragon Fruit Freeze (20 oz),Taco Bell
100.0,9.0,2.0,13.0,12.0,130.0,0.0,0.09,0.02,0.13,0.0,0.0,0.0,0.0,1.0,0.0,Lowfat Milk – CA (Regional),Taco Bell
80.0,7.0,2.0,10.0,9.0,100.0,0.0,0.0875,0.025,0.125,0.0,0.0,0.0,0.0,1.0,0.0,Lowfat Milk – Federal (Regional),Taco Bell
140.0,0.0,0.0,35.0,34.0,35.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,Midnight Berry Freeze™ (16 oz) (New),Taco Bell
170.0,0.0,0.0,43.0,42.0,40.0,0.0,0.0,0.0,0.2529411764705882,0.0,0.0,0.0,0.0,1.0,0.0,Midnight Berry Freeze™ (20 oz) (New),Taco Bell
150.0,0.0,0.0,41.0,41.0,45.0,0.0,0.0,0.0,0.2733333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mtn Dew® Baja Blast Freeze™ (16 oz),Taco Bell
190.0,0.0,0.0,51.0,51.0,55.0,0.0,0.0,0.0,0.26842105263157895,0.0,0.0,0.0,0.0,1.0,0.0,Mtn Dew® Baja Blast Freeze™ (20 oz),Taco Bell
140.0,2.0,0.0,33.0,28.0,20.0,0.0,0.014285714285714285,0.0,0.2357142857142857,0.0,0.0,0.0,0.0,1.0,0.0,Orange Juice,Taco Bell
10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Premium Hot Coffee,Taco Bell
